"subject","condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","pretty_condition","pretty_mode"
"LV9FA","311","fall17","lab-synch","Male",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",13.0996833333333,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"H9B17","221","fall17","lab-synch","Male",21,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",10.5961,"NULL","NULL","NULL","NULL","img-impasse","laboratory"
"LY74F","221","fall17","lab-synch","Male",20,"Other","Third","Thailand","NULL","NULL","NULL","NULL","NULL","NULL",7.73688333333333,"NULL","NULL","NULL","NULL","img-impasse","laboratory"
"DOS1L","321","fall17","lab-synch","Female",18,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",8.65008333333333,"NULL","NULL","NULL","NULL","ixv-impasse","laboratory"
"N53LC","111","fall17","lab-synch","Female",21,"English","Fourth","US","NULL","NULL","NULL","NULL","NULL","NULL",12.2737666666667,"NULL","NULL","NULL","NULL","none-control","laboratory"
"LJTDL","121","fall17","lab-synch","Male",18,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",15.5134833333333,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"HK4RU","311","fall17","lab-synch","Female",19,"Mandarin or Cantonese","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",13.8759666666667,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"5WPCV","121","fall17","lab-synch","Male",18,"English","First","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",17.8298,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"DON7Q","311","fall17","lab-synch","Female",19,"English","Second","Korea","NULL","NULL","NULL","NULL","NULL","NULL",10.8166333333333,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"KBQPW","121","fall17","lab-synch","Male",27,"English","Fifth","United States","NULL","NULL","NULL","NULL","NULL","NULL",13.0541,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"DF3OH","321","fall17","lab-synch","Male",19,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",9.54843333333333,"NULL","NULL","NULL","NULL","ixv-impasse","laboratory"
"SMXP5","211","fall17","lab-synch","Female",21,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",9.78675,"NULL","NULL","NULL","NULL","img-control","laboratory"
"F58KT","311","fall17","lab-synch","Female",21,"English","Fourth","Philippines","NULL","NULL","NULL","NULL","NULL","NULL",8.86268333333333,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"DUV1M","221","fall17","lab-synch","Female",21,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",8.14911666666667,"NULL","NULL","NULL","NULL","img-impasse","laboratory"
"SH7C5","221","fall17","lab-synch","Female",20,"English","Third","US","NULL","NULL","NULL","NULL","NULL","NULL",6.91745,"NULL","NULL","NULL","NULL","img-impasse","laboratory"
"6VE21","211","fall17","lab-synch","Male",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",13.07035,"NULL","NULL","NULL","NULL","img-control","laboratory"
"KUHF1","121","fall17","lab-synch","Male",19,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",9.06356666666667,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"D2B1E","311","fall17","lab-synch","Male",18,"English","First","South Korea","NULL","NULL","NULL","NULL","NULL","NULL",12.4008,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"5FETT","311","fall17","lab-synch","Female",19,"English","Second","China","NULL","NULL","NULL","NULL","NULL","NULL",13.35345,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"7WP84","211","fall17","lab-synch","Male",25,"English","Fourth","united states","NULL","NULL","NULL","NULL","NULL","NULL",11.7984833333333,"NULL","NULL","NULL","NULL","img-control","laboratory"
"R2JGD","311","fall17","lab-synch","Female",19,"English","First","China","NULL","NULL","NULL","NULL","NULL","NULL",18.7439333333333,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"137NC","321","fall17","lab-synch","Female",21,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",14.0534,"NULL","NULL","NULL","NULL","ixv-impasse","laboratory"
"TW03E","221","fall17","lab-synch","Female",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",9.3002,"NULL","NULL","NULL","NULL","img-impasse","laboratory"
"JFJSX","211","fall17","lab-synch","Female",19,"English","Second","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",11.7128333333333,"NULL","NULL","NULL","NULL","img-control","laboratory"
"ACPUO","311","fall17","lab-synch","Male",18,"Spanish","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",8.77638333333333,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"VARPG","321","fall17","lab-synch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.3995,"NULL","NULL","NULL","NULL","ixv-impasse","laboratory"
"94FPA","321","fall17","lab-synch","Female",20,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",10.64245,"NULL","NULL","NULL","NULL","ixv-impasse","laboratory"
"R8PM2","111","fall17","lab-synch","Female",20,"English","Third","US","NULL","NULL","NULL","NULL","NULL","NULL",8.41973333333333,"NULL","NULL","NULL","NULL","none-control","laboratory"
"OQB9V","111","fall17","lab-synch","Female",19,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",7.21741666666667,"NULL","NULL","NULL","NULL","none-control","laboratory"
"MABX4","121","fall17","lab-synch","Male",20,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",9.72021666666667,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"H7T38","311","fall17","lab-synch","Female",19,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",12.2729,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"W7WZ4","211","fall17","lab-synch","Female",24,"Spanish","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",17.5894333333333,"NULL","NULL","NULL","NULL","img-control","laboratory"
"TX10R","111","fall17","lab-synch","Male",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.4999,"NULL","NULL","NULL","NULL","none-control","laboratory"
"M1REU","111","fall17","lab-synch","Male",22,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",13.8817666666667,"NULL","NULL","NULL","NULL","none-control","laboratory"
